RowDate,RowTime,TotalLoad
05/01/2023,15:30,10654.93
05/01/2023,15:45,10654.87
05/01/2023,16:00,10414.32
05/01/2023,16:15,10416.78
05/01/2023,16:30,10456.80
05/01/2023,16:45,10641.97
05/01/2023,17:00,10764.34
05/01/2023,17:15,10835.48
05/01/2023,17:30,10874.53
05/01/2023,17:45,11065.95
05/01/2023,18:00,11026.12
05/01/2023,18:15,10882.42
05/01/2023,18:30,10770.76
05/01/2023,18:45,10771.17
05/01/2023,19:00,10687.61
05/01/2023,19:15,10534.84
05/01/2023,19:30,10460.38
05/01/2023,19:45,10419.25
05/01/2023,20:00,10149.70
05/01/2023,20:15,9875.47
05/01/2023,20:30,9797.32
05/01/2023,20:45,9755.23
05/01/2023,21:00,9529.54
05/01/2023,21:15,9445.56
05/01/2023,21:30,9355.62
05/01/2023,21:45,9200.74
05/01/2023,22:00,9364.64
05/01/2023,22:15,9356.64
05/01/2023,22:30,9321.94
05/01/2023,22:45,9268.58
05/01/2023,23:00,9312.31
05/01/2023,23:15,9136.43
05/01/2023,23:30,8809.72
05/01/2023,23:45,8715.55
05/01/2023,02:00*,
05/01/2023,02:15*,
05/01/2023,02:30*,
05/01/2023,02:45*,
06/01/2023,00:00,8711.90
06/01/2023,00:15,8353.75
06/01/2023,00:30,8234.09
06/01/2023,00:45,8212.79
06/01/2023,01:00,8027.17
06/01/2023,01:15,7957.79
06/01/2023,01:30,7953.52
06/01/2023,01:45,7878.86
06/01/2023,02:00,7825.35
06/01/2023,02:15,7678.71
06/01/2023,02:30,7649.86
06/01/2023,02:45,7587.97
06/01/2023,03:00,7624.41
06/01/2023,03:15,7620.46
06/01/2023,03:30,7582.96
06/01/2023,03:45,7538.59
06/01/2023,04:00,7636.08
06/01/2023,04:15,7670.45
06/01/2023,04:30,7678.76
06/01/2023,04:45,7727.72
06/01/2023,05:00,7784.97
06/01/2023,05:15,7962.54
06/01/2023,05:30,8015.37
06/01/2023,05:45,8113.66
06/01/2023,06:00,8542.58
06/01/2023,06:15,8626.34
06/01/2023,06:30,8852.62
06/01/2023,06:45,9021.19
06/01/2023,07:00,9160.44
06/01/2023,07:15,9292.77
06/01/2023,07:30,9411.71
06/01/2023,07:45,9480.75
06/01/2023,08:00,9760.97
06/01/2023,08:15,9898.77
06/01/2023,08:30,10113.12
06/01/2023,08:45,10222.07
06/01/2023,09:00,10330.03
06/01/2023,09:15,10466.44
06/01/2023,09:30,10535.10
06/01/2023,09:45,10494.01
06/01/2023,10:00,10564.42
06/01/2023,10:15,10535.40
06/01/2023,10:30,10600.44
06/01/2023,10:45,10525.56
06/01/2023,11:00,10634.02
06/01/2023,11:15,10642.46
06/01/2023,11:30,10839.07
06/01/2023,11:45,10815.07
06/01/2023,12:00,10829.84
06/01/2023,12:15,10754.13
06/01/2023,12:30,10584.22
06/01/2023,12:45,10600.24
06/01/2023,13:00,10645.55
06/01/2023,13:15,10691.13
06/01/2023,13:30,10612.75
06/01/2023,13:45,10596.65
06/01/2023,14:00,10559.50
06/01/2023,14:15,10456.26
06/01/2023,14:30,10405.63
06/01/2023,14:45,10336.18
06/01/2023,15:00,10360.18
06/01/2023,15:15,10267.04
06/01/2023,15:30,10295.74
06/01/2023,15:45,10281.06
06/01/2023,16:00,10282.88
06/01/2023,16:15,10267.94
06/01/2023,16:30,10318.57
06/01/2023,16:45,10493.80
06/01/2023,17:00,10731.92
06/01/2023,17:15,10856.37
06/01/2023,17:30,10770.09
06/01/2023,17:45,10763.76
06/01/2023,18:00,10600.05
06/01/2023,18:15,10624.72
06/01/2023,18:30,10626.49
06/01/2023,18:45,10626.99
06/01/2023,19:00,10427.25
06/01/2023,19:15,10178.46
06/01/2023,19:30,10121.10
06/01/2023,19:45,10100.55
06/01/2023,20:00,9916.76
06/01/2023,20:15,9729.51
06/01/2023,20:30,9714.56
06/01/2023,20:45,9655.67
06/01/2023,21:00,9498.87
06/01/2023,21:15,9347.79
06/01/2023,21:30,9155.62
06/01/2023,21:45,9247.10
06/01/2023,22:00,9157.37
06/01/2023,22:15,9205.20
06/01/2023,22:30,9175.60
06/01/2023,22:45,9069.36
06/01/2023,23:00,9121.67
06/01/2023,23:15,9058.84
06/01/2023,23:30,8808.69
06/01/2023,23:45,8651.64
06/01/2023,02:00*,
06/01/2023,02:15*,
06/01/2023,02:30*,
06/01/2023,02:45*,
07/01/2023,00:00,8583.21
07/01/2023,00:15,8486.19
07/01/2023,00:30,8452.02
07/01/2023,00:45,8304.99
07/01/2023,01:00,8223.62
07/01/2023,01:15,8098.29
07/01/2023,01:30,8015.17
07/01/2023,01:45,7837.28
07/01/2023,02:00,7868.02
07/01/2023,02:15,7991.31
07/01/2023,02:30,7837.22
07/01/2023,02:45,7675.56
07/01/2023,03:00,7758.05
07/01/2023,03:15,7641.44
07/01/2023,03:30,7699.46
07/01/2023,03:45,7827.45
07/01/2023,04:00,7750.62
07/01/2023,04:15,7729.29
07/01/2023,04:30,7648.36
07/01/2023,04:45,7616.60
07/01/2023,05:00,7708.36
07/01/2023,05:15,7616.47
07/01/2023,05:30,7709.09
07/01/2023,05:45,7741.61
07/01/2023,06:00,7887.94
07/01/2023,06:15,7931.32
07/01/2023,06:30,8019.75
07/01/2023,06:45,8050.64
07/01/2023,07:00,8246.37
07/01/2023,07:15,8293.61
07/01/2023,07:30,8295.43
07/01/2023,07:45,8393.41
07/01/2023,08:00,8608.65
07/01/2023,08:15,8623.47
07/01/2023,08:30,8684.78
07/01/2023,08:45,8754.14
07/01/2023,09:00,9008.91
07/01/2023,09:15,9056.75
07/01/2023,09:30,9266.27
07/01/2023,09:45,9376.50
07/01/2023,10:00,9410.77
07/01/2023,10:15,9320.32
07/01/2023,10:30,9303.26
07/01/2023,10:45,9416.57
07/01/2023,11:00,9322.29
07/01/2023,11:15,9346.60
07/01/2023,11:30,9379.14
07/01/2023,11:45,9410.22
07/01/2023,12:00,9333.54
07/01/2023,12:15,9309.03
07/01/2023,12:30,9407.49
07/01/2023,12:45,9427.42
07/01/2023,13:00,9126.78
07/01/2023,13:15,9083.94
07/01/2023,13:30,9178.47
07/01/2023,13:45,9037.06
07/01/2023,14:00,8953.56
07/01/2023,14:15,8939.39
07/01/2023,14:30,9005.08
07/01/2023,14:45,9002.73
07/01/2023,15:00,9067.69
07/01/2023,15:15,9181.52
07/01/2023,15:30,9151.24
07/01/2023,15:45,9212.99
07/01/2023,16:00,9389.22
07/01/2023,16:15,9251.78
07/01/2023,16:30,9473.36
07/01/2023,16:45,9598.89
07/01/2023,17:00,9915.48
07/01/2023,17:15,9946.14
07/01/2023,17:30,9960.02
07/01/2023,17:45,10106.47
07/01/2023,18:00,10105.01
07/01/2023,18:15,10051.40
07/01/2023,18:30,9943.53
07/01/2023,18:45,9837.70
07/01/2023,19:00,9746.22
07/01/2023,19:15,9711.48
07/01/2023,19:30,9587.28
07/01/2023,19:45,9328.70
07/01/2023,20:00,9266.30
07/01/2023,20:15,9162.38
07/01/2023,20:30,9058.15
07/01/2023,20:45,8941.30
07/01/2023,21:00,8884.26
07/01/2023,21:15,8864.91
07/01/2023,21:30,8771.46
07/01/2023,21:45,8728.86
07/01/2023,22:00,8875.50
07/01/2023,22:15,8855.40
07/01/2023,22:30,8811.75
07/01/2023,22:45,8709.78
07/01/2023,23:00,8676.70
07/01/2023,23:15,8507.03
07/01/2023,23:30,8448.27
07/01/2023,23:45,8281.88
07/01/2023,02:00*,
07/01/2023,02:15*,
07/01/2023,02:30*,
07/01/2023,02:45*,
08/01/2023,00:00,8315.46
08/01/2023,00:15,8104.23
08/01/2023,00:30,8052.20
08/01/2023,00:45,7835.35
