RowDate,RowTime,TotalLoadForecast
08/01/2023,06:00,7699.76
08/01/2023,06:15,7748.11
08/01/2023,06:30,7794.43
08/01/2023,06:45,7821.17
08/01/2023,07:00,7684.27
08/01/2023,07:15,7778.95
08/01/2023,07:30,7854.80
08/01/2023,07:45,7902.49
08/01/2023,08:00,8266.22
08/01/2023,08:15,8367.26
08/01/2023,08:30,8423.69
08/01/2023,08:45,8458.30
08/01/2023,09:00,8957.90
08/01/2023,09:15,9064.12
08/01/2023,09:30,9157.73
08/01/2023,09:45,9241.02
08/01/2023,10:00,8819.74
08/01/2023,10:15,8871.60
08/01/2023,10:30,8936.63
08/01/2023,10:45,8976.61
08/01/2023,11:00,9236.12
08/01/2023,11:15,9296.15
08/01/2023,11:30,9359.43
08/01/2023,11:45,9394.04
08/01/2023,12:00,9597.66
08/01/2023,12:15,9641.60
08/01/2023,12:30,9574.52
08/01/2023,12:45,9522.09
08/01/2023,13:00,9300.69
08/01/2023,13:15,9232.86
08/01/2023,13:30,9208.94
08/01/2023,13:45,9130.73
08/01/2023,14:00,8831.64
08/01/2023,14:15,8862.88
08/01/2023,14:30,8847.82
08/01/2023,14:45,8783.34
08/01/2023,15:00,8787.94
08/01/2023,15:15,8779.37
08/01/2023,15:30,8785.10
08/01/2023,15:45,8798.00
08/01/2023,16:00,8794.21
08/01/2023,16:15,8865.87
08/01/2023,16:30,8933.54
08/01/2023,16:45,9079.35
08/01/2023,17:00,9458.69
08/01/2023,17:15,9618.04
08/01/2023,17:30,9742.00
08/01/2023,17:45,9774.19
08/01/2023,18:00,9987.97
08/01/2023,18:15,9974.67
08/01/2023,18:30,9956.10
08/01/2023,18:45,9917.27
08/01/2023,19:00,9777.61
08/01/2023,19:15,9673.10
08/01/2023,19:30,9603.69
08/01/2023,19:45,9564.22
08/01/2023,20:00,9516.35
08/01/2023,20:15,9444.53
08/01/2023,20:30,9391.00
08/01/2023,20:45,9346.24
08/01/2023,21:00,9007.52
08/01/2023,21:15,8970.13
08/01/2023,21:30,8893.18
08/01/2023,21:45,8797.43
08/01/2023,22:00,8790.39
08/01/2023,22:15,8853.07
08/01/2023,22:30,8831.21
08/01/2023,22:45,8729.05
08/01/2023,23:00,8834.11
08/01/2023,23:15,8738.05
08/01/2023,23:30,8639.98
08/01/2023,23:45,8525.28
08/01/2023,02:00*,
08/01/2023,02:15*,
08/01/2023,02:30*,
08/01/2023,02:45*,
09/01/2023,00:00,8412.21
09/01/2023,00:15,8287.03
09/01/2023,00:30,8165.26
09/01/2023,00:45,8070.92
09/01/2023,01:00,8080.96
09/01/2023,01:15,7967.44
09/01/2023,01:30,7865.19
09/01/2023,01:45,7814.05
09/01/2023,02:00,7765.34
09/01/2023,02:15,7675.01
09/01/2023,02:30,7625.59
09/01/2023,02:45,7623.13
09/01/2023,03:00,7761.45
09/01/2023,03:15,7673.00
09/01/2023,03:30,7643.48
09/01/2023,03:45,7654.60
09/01/2023,04:00,7866.96
09/01/2023,04:15,7860.13
09/01/2023,04:30,7871.01
09/01/2023,04:45,7885.60
09/01/2023,05:00,8181.38
09/01/2023,05:15,8122.38
09/01/2023,05:30,8117.82
09/01/2023,05:45,8147.69
09/01/2023,06:00,8789.54
09/01/2023,06:15,8877.87
09/01/2023,06:30,8934.66
09/01/2023,06:45,8956.92
09/01/2023,07:00,10241.03
09/01/2023,07:15,10330.17
09/01/2023,07:30,10428.26
09/01/2023,07:45,10499.33
09/01/2023,08:00,10391.85
09/01/2023,08:15,10525.81
09/01/2023,08:30,10597.81
09/01/2023,08:45,10648.70
09/01/2023,09:00,10690.69
09/01/2023,09:15,10806.05
09/01/2023,09:30,10906.13
09/01/2023,09:45,11013.33
09/01/2023,10:00,10957.59
09/01/2023,10:15,11042.26
09/01/2023,10:30,11142.59
09/01/2023,10:45,11190.27
09/01/2023,11:00,10823.06
09/01/2023,11:15,10894.42
09/01/2023,11:30,10988.28
09/01/2023,11:45,11032.88
09/01/2023,12:00,11036.58
09/01/2023,12:15,11066.05
09/01/2023,12:30,10990.67
09/01/2023,12:45,10921.91
09/01/2023,13:00,11204.64
09/01/2023,13:15,11129.95
09/01/2023,13:30,11088.83
09/01/2023,13:45,10980.14
09/01/2023,14:00,10996.70
09/01/2023,14:15,11018.52
09/01/2023,14:30,10969.09
09/01/2023,14:45,10897.23
09/01/2023,15:00,10711.39
09/01/2023,15:15,10692.02
09/01/2023,15:30,10716.96
09/01/2023,15:45,10748.83
09/01/2023,16:00,10634.43
09/01/2023,16:15,10690.59
09/01/2023,16:30,10778.66
09/01/2023,16:45,10954.88
09/01/2023,17:00,10879.03
09/01/2023,17:15,11081.24
09/01/2023,17:30,11239.94
09/01/2023,17:45,11289.74
09/01/2023,18:00,11272.08
09/01/2023,18:15,11262.10
09/01/2023,18:30,11232.10
